"chr","pos","locus_court","court_lod","mp_trial_lod","court_lod_np","mp_trial_lod_np","cp_trial_lod_np","cp_trial_lod"
"1",0,1,2.75891690140965,0.87870423702544,2.19996033644399,0.986314049354136,2.01087027283784,2.07182691101567
"1",0.906345,2,2.90371201121461,0.697469877683598,2.31973850927461,0.619147593996695,2.75751202901234,2.51428991692923
"1",1,3,2.92295108574204,0.703401525612565,2.34336282763941,0.625663278446423,2.78021527737914,2.53213863604144
"1",1.812692,4,3.03086965483382,0.73666845517886,2.49110756815719,0.667757394608337,2.911191553311,2.61988623562656
"1",2,5,3.22916065539185,0.819750578413912,2.661625301089,0.729389866351189,3.10348804641446,2.86487531593629
"1",2.416923,6,3.55057663496037,0.97832718469907,2.95065732706328,0.846827795013956,3.43063819457645,3.30706661139343
"1",2.719034,7,4.25591799667751,1.17365617222594,3.36620666701714,1.016091729799,3.60686079686566,3.43587133990027
"1",3,8,4.11994111920824,1.62646047043734,3.28406527566606,1.28287570824247,3.18583248203002,2.80711722925113
"1",3.021155,9,4.09650753987036,1.65957117642922,3.27127571560537,1.30175403295723,3.149009980573,2.75597760045541
"1",3.323266,10,3.82829089797178,1.3224213564555,3.10633169184373,1.06932964261437,3.56482189748188,3.19665008915015
"1",4,11,4.42344545103593,1.59429346441974,3.50647251113841,1.23367648336659,3.8245391011448,3.41958139190411
"1",4.229617,12,4.5424446039556,1.66622567728323,3.59518921644742,1.27438364846647,3.86042134365112,3.44340592781248
"1",4.531728,13,4.1365350887793,1.60158823846038,3.25715551727598,1.20467853086828,3.67764702506748,3.31448444770883
"1",4.833849,14,4.1364798648166,1.60156915899058,3.25710847263615,1.20465958631361,3.67762420384399,3.31446704813924
"1",5,15,4.11398319169503,1.55606185703898,3.22471812345612,1.15452217517885,3.70027387056216,3.3391475707887
"1",5.74019,16,3.91506486624162,1.3057220424998,2.93613455753249,0.897359319605157,3.63630278273826,3.31294523863307
"1",6,17,3.88195247290958,1.29003185043274,2.91087020215936,0.884004598176102,3.6411611469314,3.31726066634358
"1",7,18,3.70216356064726,1.21627744171184,2.78315309829572,0.824307389098086,3.6228967997743,3.29927613174587
"1",8,19,3.44699309029639,1.1240033236539,2.61125862109773,0.753476262974471,3.54569722278626,3.22583409768982
